,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
52,65,98,74,4,1,87.83,3,bowled,1,v India,Auckland,25-Jan-14
53,60,100,82,2,2,73.17,3,run out,2,v India,Hamilton,28-Jan-14
54,88,117,91,8,1,96.7,3,caught,1,v India,Wellington,31-Jan-14
55,10,21,19,2,0,52.63,3,caught,1,v Pakistan,Dubai (DICS),08-Dec-14
56,70*,127,91,7,0,76.92,3,not out,2,v Pakistan,Sharjah,12-Dec-14
57,46,82,52,6,0,88.46,3,caught,2,v Pakistan,Sharjah,14-Dec-14
58,123,150,105,12,0,117.14,3,bowled,1,v Pakistan,Abu Dhabi,17-Dec-14
59,97,156,119,8,0,81.51,3,caught,1,v Pakistan,Abu Dhabi,19-Dec-14
60,15,43,22,1,0,68.18,3,caught,2,v Sri Lanka,Christchurch,11-Jan-15
61,103,155,107,6,1,96.26,3,bowled,2,v Sri Lanka,Nelson,20-Jan-15
62,26,60,32,4,0,81.25,3,caught,1,v Sri Lanka,Dunedin,23-Jan-15
63,97,141,95,8,2,102.1,3,run out,1,v Sri Lanka,Dunedin,25-Jan-15
64,54,120,83,4,0,65.06,3,caught,2,v Sri Lanka,Wellington,29-Jan-15
65,112,132,88,14,1,127.27,3,caught,1,v Pakistan,Napier,03-Feb-15
66,57,70,65,5,1,87.69,3,caught,1,v Sri Lanka,Christchurch,14-Feb-15
67,38,60,45,6,0,84.44,3,caught,2,v Scotland,Dunedin,17-Feb-15
68,9*,23,22,1,0,40.9,3,not out,2,v England,Wellington,20-Feb-15
69,45*,-,42,5,1,107.14,3,not out,2,v Australia,Auckland,28-Feb-15
70,33,58,45,4,0,73.33,3,caught,2,v Afghanistan,Napier,08-Mar-15
71,1,3,2,0,0,50,3,caught,2,v Bangladesh,Hamilton,13-Mar-15
72,33,48,35,5,0,94.28,3,caught,1,v West Indies,Wellington,21-Mar-15
73,6,12,11,1,0,54.54,3,bowled,2,v South Africa,Auckland,24-Mar-15
74,12,52,33,1,0,36.36,3,caught,1,v Australia,Melbourne,29-Mar-15
75,45,54,43,8,0,104.65,3,caught,2,v England,Birmingham,09-Jun-15
76,93,121,88,12,1,105.68,3,caught,1,v England,The Oval,12-Jun-15
77,118,159,113,12,1,104.42,3,caught,2,v England,Southampton,14-Jun-15
78,90,118,70,12,1,128.57,3,caught,1,v England,Nottingham,17-Jun-15
79,50,81,65,5,0,76.92,3,bowled,1,v England,Chester-le-Street,20-Jun-15
80,97,124,102,11,1,95.09,3,bowled,1,v Zimbabwe,Harare,02-Aug-15
81,DNB,-,-,-,-,-,-,-,2,v Zimbabwe,Harare,04-Aug-15
82,90,126,109,8,1,82.56,3,caught,1,v Zimbabwe,Harare,07-Aug-15
83,47,93,69,4,1,68.11,3,caught,2,v South Africa,Centurion,19-Aug-15
