,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
291,21,29,17,4,0,123.52,1,lbw,2,v Australia,Nottingham,06-Jun-19
292,TDNB,-,-,-,-,-,-,-,-,v South Africa,Southampton,10-Jun-19
293,36,57,41,5,1,87.8,1,caught,1,v England,Southampton,14-Jun-19
294,0,17,13,0,0,0,1,caught,1,v Bangladesh,Taunton,17-Jun-19
295,87,111,84,8,6,103.57,1,caught,2,v New Zealand,Manchester,22-Jun-19
296,6,22,19,1,0,31.57,1,caught,2,v India,Manchester,27-Jun-19
297,35,70,48,1,2,72.91,1,caught,2,v Sri Lanka,Chester-le-Street,01-Jul-19
298,7,21,18,1,0,38.88,1,caught,1,v Afghanistan,Leeds,04-Jul-19
299,4,-,31,0,0,12.9,1,bowled,1,v India,Providence,08-Aug-19
300,11,49,24,1,0,45.83,1,lbw,2,v India,Port of Spain,11-Aug-19
301,72,64,41,8,5,175.6,1,caught,1,v India,Port of Spain,14-Aug-19
