,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date
134,6,0,27,2,4.5,3,2,v India,Mirpur,15-Jun-14
135,2.3,0,8,1,3.2,5,1,v India,Mirpur,17-Jun-14
136,7.2,0,27,3,3.68,4,1,v India,Mirpur,19-Jun-14
137,10,0,41,4,4.1,4,2,v Zimbabwe,Chattogram,21-Nov-14
138,8,2,18,1,2.25,5,2,v Zimbabwe,Chattogram,23-Nov-14
139,7,1,19,1,2.71,6,2,v Zimbabwe,Mirpur,26-Nov-14
140,10,1,28,2,2.8,3,2,v Zimbabwe,Mirpur,28-Nov-14
141,7,1,30,3,4.28,3,1,v Zimbabwe,Mirpur,01-Dec-14
142,8.5,0,43,2,4.86,4,2,v Afghanistan,Canberra,18-Feb-15
143,10,0,55,0,5.5,4,1,v Sri Lanka,Melbourne,26-Feb-15
144,10,0,46,1,4.6,2,1,v Scotland,Nelson,05-Mar-15
145,10,0,41,0,4.1,4,2,v England,Adelaide,09-Mar-15
146,8.5,1,55,4,6.22,1,2,v New Zealand,Hamilton,13-Mar-15
147,10,0,58,1,5.8,6,1,v India,Melbourne,19-Mar-15
148,9.2,0,45,1,4.82,4,2,v Pakistan,Mirpur,17-Apr-15
149,10,0,51,2,5.1,6,1,v Pakistan,Mirpur,19-Apr-15
150,10,0,34,2,3.4,6,1,v Pakistan,Mirpur,22-Apr-15
151,8,0,33,2,4.12,6,2,v India,Mirpur,18-Jun-15
152,7,0,33,0,4.71,6,1,v India,Mirpur,21-Jun-15
153,9,1,33,1,3.66,6,1,v India,Mirpur,24-Jun-15
154,5,1,27,0,5.4,4,2,v South Africa,Mirpur,10-Jul-15
155,10,0,30,0,3,3,1,v South Africa,Mirpur,12-Jul-15
156,8,0,33,3,4.12,3,1,v South Africa,Chattogram,15-Jul-15
157,10,0,47,5,4.7,3,2,v Zimbabwe,Mirpur,07-Nov-15
158,10,0,26,2,2.6,3,2,v Afghanistan,Mirpur,25-Sep-16
159,10,0,47,4,4.7,2,2,v Afghanistan,Mirpur,28-Sep-16
160,6,0,34,0,5.66,3,2,v Afghanistan,Mirpur,01-Oct-16
161,10,0,59,2,5.9,3,1,v England,Mirpur,07-Oct-16
162,9,0,50,1,5.55,1,2,v England,Mirpur,09-Oct-16
163,8,0,45,0,5.62,3,2,v England,Chattogram,12-Oct-16
164,10,0,69,3,6.9,4,1,v New Zealand,Christchurch,26-Dec-16
165,10,0,45,2,4.5,4,1,v New Zealand,Nelson,29-Dec-16
166,8,0,55,0,6.87,4,2,v New Zealand,Nelson,31-Dec-16
167,8,0,33,1,4.12,4,2,v Sri Lanka,Dambulla,25-Mar-17
168,10,0,59,0,5.9,5,1,v Sri Lanka,Dambulla,28-Mar-17
169,8,0,41,0,5.12,6,1,v Sri Lanka,Colombo (SSC),01-Apr-17
170,TDNB,-,-,-,-,-,-,v Ireland,Dublin (Malahide),12-May-17
171,10,1,50,0,5,2,2,v New Zealand,Dublin,17-May-17
172,9,0,38,1,4.22,5,1,v Ireland,Dublin (Malahide),19-May-17
173,8,0,41,2,5.12,5,1,v New Zealand,Dublin,24-May-17
174,8,0,62,0,7.75,2,2,v England,The Oval,01-Jun-17
175,DNB,-,-,-,-,-,2,v Australia,The Oval,05-Jun-17
176,10,0,52,0,5.2,5,1,v New Zealand,Cardiff,09-Jun-17
177,9,0,54,0,6,5,2,v India,Birmingham,15-Jun-17
178,8,0,48,0,6,4,2,v South Africa,Kimberley,15-Oct-17
179,10,0,60,2,6,3,1,v South Africa,Paarl,18-Oct-17
180,10,0,56,0,5.6,4,1,v South Africa,East London,22-Oct-17
181,10,0,43,3,4.3,1,1,v Zimbabwe,Mirpur,15-Jan-18
182,8,1,47,3,5.87,5,2,v Sri Lanka,Mirpur,19-Jan-18
183,9,2,34,3,3.77,1,2,v Zimbabwe,Mirpur,23-Jan-18
184,1,0,10,0,10,5,2,v Sri Lanka,Mirpur,25-Jan-18
185,5,0,20,0,4,6,1,v Sri Lanka,Mirpur,27-Jan-18
186,7,0,43,0,6.14,6,2,v West Indies,Providence,22-Jul-18
187,9,1,45,2,5,5,1,v West Indies,Providence,25-Jul-18
188,10,0,45,0,4.5,7,2,v West Indies,Basseterre,28-Jul-18
189,9.2,0,31,1,3.32,4,2,v Sri Lanka,Dubai (DICS),15-Sep-18
190,10,1,42,4,4.2,5,1,v Afghanistan,Abu Dhabi,20-Sep-18
191,9.2,0,44,1,4.71,4,2,v India,Dubai (DICS),21-Sep-18
192,9,0,55,1,6.11,5,2,v Afghanistan,Abu Dhabi,23-Sep-18
193,10,0,36,1,3.6,2,1,v West Indies,Mirpur,09-Dec-18
194,10,0,28,0,2.8,1,2,v West Indies,Mirpur,11-Dec-18
195,9,0,40,2,4.44,3,1,v West Indies,Sylhet,14-Dec-18
196,10,0,33,1,3.3,4,1,v West Indies,Dublin,07-May-19
197,10,1,27,1,2.7,5,1,v West Indies,Dublin (Malahide),13-May-19
198,9,0,65,0,7.22,5,1,v Ireland,Dublin,15-May-19
199,10,0,50,1,5,4,2,v South Africa,The Oval,02-Jun-19
200,10,0,47,2,4.7,4,2,v New Zealand,The Oval,05-Jun-19
201,10,0,71,0,7.1,1,1,v England,Cardiff,08-Jun-19
202,8,0,54,2,6.75,6,1,v West Indies,Taunton,17-Jun-19
203,6,0,50,0,8.33,3,1,v Australia,Nottingham,20-Jun-19
204,10,1,29,5,2.9,4,2,v Afghanistan,Southampton,24-Jun-19
205,10,0,41,1,4.1,4,1,v India,Birmingham,02-Jul-19
206,10,0,57,0,5.7,5,1,v Pakistan,Lord's,05-Jul-19
207,7.2,2,8,4,1.09,4,1,v West Indies,Mirpur,20-Jan-21
208,10,0,30,2,3,5,1,v West Indies,Mirpur,22-Jan-21
209,4.5,0,12,0,2.48,5,2,v West Indies,Chattogram,25-Jan-21
210,10,0,44,1,4.4,5,2,v Sri Lanka,Mirpur,23-May-21
211,9,0,38,2,4.22,5,2,v Sri Lanka,Mirpur,25-May-21
212,10,0,48,0,4.8,6,1,v Sri Lanka,Mirpur,28-May-21
213,9.5,3,30,5,3.05,3,2,v Zimbabwe,Harare,16-Jul-21
214,10,0,42,2,4.2,5,1,v Zimbabwe,Harare,18-Jul-21
215,10,0,46,1,4.6,5,1,v Zimbabwe,Harare,20-Jul-21
216,9,1,50,2,5.55,3,1,v Afghanistan,Chattogram,23-Feb-22
217,10,0,38,2,3.8,4,2,v Afghanistan,Chattogram,25-Feb-22
218,10,0,47,1,4.7,3,2,v Afghanistan,Chattogram,28-Feb-22
219,10,0,54,0,5.4,1,2,v South Africa,Centurion,18-Mar-22
220,10,2,33,1,3.3,5,2,v South Africa,Johannesburg,20-Mar-22
221,9,0,24,2,2.66,5,1,v South Africa,Centurion,23-Mar-22
222,10,2,36,5,3.6,4,1,v India,Mirpur,04-Dec-22
223,10,1,39,2,3.9,5,2,v India,Mirpur,07-Dec-22
224,10,0,68,2,6.8,5,1,v India,Chattogram,10-Dec-22
225,10,0,45,1,4.5,1,2,v England,Mirpur,01-Mar-23
226,10,0,64,1,6.4,1,1,v England,Mirpur,03-Mar-23
227,10,0,35,4,3.5,4,2,v England,Chattogram,06-Mar-23
228,4,0,23,1,5.75,4,2,v Ireland,Sylhet,18-Mar-23
229,TDNB,-,-,-,-,-,-,v Ireland,Sylhet,20-Mar-23
230,DNB,-,-,-,-,-,1,v Ireland,Sylhet,23-Mar-23
231,DNB,-,-,-,-,-,2,v Ireland,Chelmsford,09-May-23
232,9,0,57,0,6.33,4,1,v Ireland,Chelmsford,12-May-23
233,5,1,9,1,1.8,4,2,v Afghanistan,Chattogram,05-Jul-23
234,10,0,50,2,5,4,1,v Afghanistan,Chattogram,08-Jul-23
235,10,1,13,1,1.3,4,1,v Afghanistan,Chattogram,11-Jul-23
236,10,2,29,2,2.9,3,2,v Sri Lanka,Pallekele,31-Aug-23
237,8,0,44,0,5.5,4,2,v Afghanistan,Lahore,03-Sep-23
238,5.3,0,31,0,5.63,5,2,v Pakistan,Lahore,06-Sep-23
239,10,0,44,0,4.4,4,1,v Sri Lanka,Colombo (RPS),09-Sep-23
240,10,2,43,1,4.3,4,2,v India,Colombo (RPS),15-Sep-23
241,8,0,30,3,3.75,4,1,v Afghanistan,Dharamsala,07-Oct-23
242,10,0,52,1,5.2,5,1,v England,Dharamsala,10-Oct-23
243,10,0,54,1,5.4,4,2,v New Zealand,Chennai,13-Oct-23
244,9,0,69,1,7.66,4,1,v South Africa,Wankhede,24-Oct-23
245,10,1,37,1,3.7,3,1,v Netherlands,Eden Gardens,28-Oct-23
246,5.3,0,30,0,5.45,5,2,v Pakistan,Eden Gardens,31-Oct-23
247,10,0,57,2,5.7,4,1,v Sri Lanka,Delhi,06-Nov-23
